point_id,latitude,longitude,elevation_m
P00253,26.647295,94.625683,1700.02
P00254,27.655304,95.969528,1095.59
P00255,27.438336,90.858104,1151.52
P00256,23.47558,92.692834,1045.95
P00257,24.851942,91.968198,610.34
P00258,26.762125,93.469714,300.0
P00259,24.516681,93.596838,732.24
P00260,22.863503,94.241942,398.89
P00261,22.189585,93.149947,1023.34
P00262,24.072733,93.754808,457.8
P00263,26.362566,93.425097,989.46
P00264,25.226922,91.304032,395.65
P00265,25.921066,92.672291,866.04
P00266,24.943416,94.560751,676.56
P00267,25.055795,92.440707,557.88
P00268,25.765457,95.966546,760.23
P00269,24.262345,93.621794,917.86
P00270,26.580686,91.905446,546.05
P00271,26.817948,93.109542,1235.13
P00272,25.278216,92.677435,529.92
P00273,26.395275,96.318017,390.31
P00274,26.04678,94.165944,818.79
P00275,28.785654,88.994234,1196.59
P00276,25.905407,94.392238,800.83
P00277,25.309238,94.131474,521.34
P00278,27.964159,95.715458,1099.3
P00279,24.503947,90.869517,393.5
P00280,27.996905,94.976551,714.4
P00281,24.477992,92.682425,633.74
P00282,26.612646,91.784514,1271.57
P00283,29.139903,94.097326,1246.02
P00284,24.476295,94.478332,670.35
P00285,28.070838,93.661478,937.83
P00286,27.66707,94.595595,1246.5
P00287,25.524495,94.118822,831.85
P00288,27.015956,95.606379,815.43
P00289,22.399873,93.530081,687.78
P00290,22.0,92.884015,658.51
P00291,28.819198,96.026169,1340.78
P00292,24.700679,94.565673,906.91
P00293,29.016242,94.9198,1935.23
P00294,24.978556,93.601151,560.74
P00295,27.550236,94.719149,1382.96
P00296,25.779897,93.090578,300.0
P00297,24.313555,93.647358,734.69
P00298,27.704098,94.26792,1190.64
P00299,25.489571,91.687846,300.0
P00300,28.175214,92.241571,1062.94
P00301,26.644214,96.763093,739.72
P00302,26.096416,91.901336,993.99
P00303,24.79086,93.421313,725.96
P00304,25.655929,93.481036,608.2
P00305,24.303334,93.698732,853.33
P00306,25.678012,92.75382,300.0
P00307,25.444724,91.42341,702.8
P00308,27.272443,92.845196,743.54
P00309,24.754834,92.561466,864.07
P00310,29.040997,95.365077,1515.48
P00311,27.649476,93.530945,840.96
P00312,26.020043,95.76488,514.92
P00313,23.882778,93.212841,418.33
P00314,28.845312,92.514692,1320.23
P00315,25.760787,92.123007,341.2
P00316,25.902102,93.544912,766.32
P00317,26.347142,94.135536,947.8
P00318,28.076202,96.289011,1341.41
P00319,24.595174,93.324112,823.2
P00320,25.580436,94.789249,536.24
P00321,23.470099,94.196968,1155.5
P00322,24.053612,93.790752,384.75
P00323,25.854406,92.334491,440.16
P00324,24.704017,92.491197,644.32
P00325,24.96217,91.349912,424.41
P00326,24.639383,93.900914,584.18
P00327,28.289785,94.469114,1359.8
P00328,24.425754,93.656882,532.56
P00329,26.665191,93.803956,978.35
P00330,26.365482,93.56852,360.56
P00331,26.79121,93.322035,730.51
P00332,25.321072,94.340283,728.18
P00333,25.538308,93.921397,779.0
P00334,25.373133,95.223365,510.9
P00335,23.952526,94.180609,300.0
P00336,27.70308,95.730721,1323.88
P00337,26.108118,93.156273,300.0
P00338,23.477721,93.333561,736.47
P00339,24.269424,93.462028,521.83
P00340,25.061841,93.641129,386.64
P00341,24.896033,94.678254,655.5
P00342,26.23,94.460023,943.19
P00343,25.97891,92.02224,984.44
P00344,26.519388,92.901277,867.11
P00345,25.660593,93.039458,820.53
P00346,27.691389,95.469115,1097.48
P00347,23.16958,94.015339,452.7
P00348,28.509229,92.737882,1230.39
P00349,25.651346,94.585633,618.31
P00350,26.415226,95.359894,935.22
P00351,24.037644,94.200538,1166.56
P00352,26.721264,93.079427,1333.68
P00353,26.350022,91.281854,1013.98
P00354,28.068903,92.855382,1113.66
P00355,24.888025,92.799949,636.48
P00356,26.464654,92.658028,1136.73
P00357,25.828986,92.482913,507.93
P00358,26.967438,95.30741,968.12
P00359,28.523799,94.846214,1394.94
P00360,25.400066,91.335297,521.67
P00361,29.43678,89.457719,1368.87
P00362,25.880585,95.380518,973.49
P00363,27.156344,90.741688,1175.55
P00364,24.969598,91.864074,567.1
P00365,24.85348,92.581752,669.32
P00366,25.439421,92.294531,367.19
P00367,28.250476,96.523315,1280.72
P00368,23.851255,93.648929,335.57
P00369,27.029732,95.368938,650.28
P00370,23.614425,92.697212,900.68
P00371,26.655131,93.757223,989.28
P00372,23.970934,92.743171,369.82
P00373,26.301193,94.82322,818.47
P00374,27.621976,92.733277,1312.78
P00375,26.183297,91.288078,424.41
P00376,23.045354,94.369008,854.18
P00377,24.967377,93.937123,688.24
P00378,28.379989,93.473575,1068.12
P00379,25.608929,91.348568,731.63
P00380,27.733704,92.727981,1254.15
P00381,26.074821,94.714707,613.11
P00382,29.008188,96.823141,1590.07
P00383,26.794834,92.944145,993.02
P00384,25.373189,93.864552,854.88
P00385,24.797077,93.78137,711.42
P00386,26.897887,92.174015,300.0
P00387,26.154847,92.811614,455.37
P00388,26.497124,95.915813,889.93
P00389,24.900608,93.409412,583.61
P00390,25.062848,93.397953,1062.97
P00391,25.405988,94.150245,685.76
P00392,22.474195,92.762053,300.47
P00393,27.856088,92.899018,963.6
P00394,27.200372,94.034759,1168.14
P00395,24.199753,95.282208,638.47
P00396,23.481544,93.678066,391.97
P00397,23.354251,93.832493,687.81
P00398,27.398396,91.20003,1329.21
P00399,24.071951,94.159695,696.82
P00400,25.629596,92.814329,835.35
P00401,26.600231,91.606552,427.6
P00402,24.680805,93.844461,1028.66
P00403,24.971248,91.221446,628.97
P00404,27.469241,88.728472,1072.4
P00405,26.817781,91.6444,531.96
P00406,26.800047,90.53484,300.0
P00407,25.971313,94.583294,952.0
P00408,25.023444,94.811245,359.73
P00409,26.259837,93.815268,496.55
P00410,28.712013,92.805212,1218.2
P00411,27.11832,94.854263,935.61
P00412,27.95259,94.550608,1196.34
P00413,23.35972,92.763819,394.23
P00414,25.343377,92.271,345.2
P00415,23.675742,92.555812,638.79
P00416,26.512378,94.914261,1117.95
P00417,25.403845,94.590236,1213.87
P00418,25.83155,91.622294,878.02
P00419,24.894349,90.589707,450.93
P00420,27.327621,94.683525,664.55
P00421,26.877269,92.154171,1001.65
P00422,28.444852,93.332586,1039.26
P00423,22.817636,94.134266,549.48
P00424,26.520791,94.77425,925.25
P00425,26.374577,93.942546,539.43
P00426,26.118481,93.120738,789.65
P00427,24.851685,92.694312,300.0
P00428,27.689497,89.013045,1549.57
P00429,23.747371,93.462539,775.3
P00430,24.273742,93.943509,568.32
P00431,24.875559,93.777982,1135.46
P00432,24.766899,93.032761,762.29
P00433,25.689086,96.837417,848.29
P00434,26.27882,96.126733,1052.38
P00435,25.0164,93.635764,612.3
P00436,26.212273,93.083585,758.28
P00437,26.418926,96.439754,1079.11
P00438,23.582712,92.116534,610.01
P00439,24.280041,93.45092,840.71
P00440,26.454811,95.160827,441.44
P00441,29.5,93.096548,1202.78
P00442,26.868215,94.353641,692.57
P00443,25.765506,93.086062,865.21
P00444,27.089482,94.406469,1003.38
P00445,27.112441,95.207215,1110.84
P00446,26.21614,92.491454,305.58
P00447,27.356848,95.592167,1511.14
P00448,27.85643,94.369062,1174.63
P00449,26.818782,93.454722,783.49
P00450,27.421446,93.323504,1034.57
P00451,25.758929,93.131501,322.5
P00452,27.12666,90.092801,1215.1
P00453,26.142861,91.118955,434.86
P00454,25.553416,95.23512,1448.05
P00455,26.677119,94.313805,1223.36
P00456,25.427966,93.107485,1072.43
P00457,26.66568,92.53531,841.98
P00458,25.23526,94.207477,506.03
P00459,26.228597,92.526921,597.92
P00460,24.766404,93.770949,619.85
P00461,26.125491,93.176359,376.76
P00462,29.203877,90.806469,1467.59
P00463,24.643894,93.731306,911.85
P00464,25.969065,93.997985,558.52
P00465,23.120131,93.804318,771.15
P00466,23.033903,92.805763,673.99
P00467,23.328893,93.30183,924.87
P00468,26.690088,93.738951,1222.06
P00469,24.548134,94.044578,663.92
P00470,25.014469,92.727948,969.93
P00471,22.213105,94.174047,300.0
P00472,28.528292,94.607828,661.48
P00473,24.414013,93.458021,744.61
P00474,25.978207,92.439708,305.1
P00475,22.995245,92.943918,304.76
P00476,26.54669,94.099862,614.45
P00477,24.577391,92.841716,1056.88
P00478,28.382388,94.878083,1449.88
P00479,25.91528,93.947786,879.17
P00480,29.5,94.490367,1368.5
P00481,25.400992,93.787268,544.47
P00482,28.870964,93.163666,1128.45
P00483,25.27657,91.896153,639.32
P00484,27.899479,91.003861,1356.28
P00485,25.795646,92.058125,537.29
P00486,24.450735,93.37588,1315.95
P00487,25.650701,96.360217,850.43
P00488,23.496298,93.669348,614.88
P00489,22.281471,93.33598,323.81
P00490,23.499545,93.116694,465.11
P00491,28.03379,93.147671,1285.12
P00492,23.206879,93.588635,300.0
P00493,25.089855,94.216454,624.26
P00494,28.957433,92.655677,1838.97
P00495,24.769097,94.081332,724.8
P00496,24.297235,93.429044,661.95
P00497,26.88624,95.726364,697.81
P00498,29.454076,91.861405,1099.02
P00499,24.490454,94.19653,764.53
P00500,27.133971,91.165497,681.48
P00501,27.596319,90.825732,1465.46
P00502,23.569001,92.372074,664.4
P00503,26.061258,91.43277,843.56
P00504,27.615045,91.80105,1520.84
P00505,25.464698,94.202523,838.79
P00506,28.243229,94.141557,975.15
P00507,26.489469,91.909589,656.82
P00508,25.419383,91.719346,300.0
P00509,24.169763,93.723771,888.59
P00510,29.278793,94.391535,1059.11
P00511,26.121512,95.620702,1304.9
P00512,25.845174,93.655043,718.93
P00513,27.777208,95.673472,1238.58
P00514,25.838793,93.409489,1286.43
P00515,27.798119,96.27982,927.53
P00516,25.877204,89.912793,1150.89
P00517,25.977866,91.091005,694.93
P00518,25.286424,93.179533,1284.63
P00519,26.209046,92.142124,1355.22
P00520,25.734622,94.048727,837.46
P00521,27.690644,95.062335,1673.2
P00522,29.5,92.743469,1027.68
P00523,27.809649,96.17635,1681.7
P00524,27.10586,95.044089,1427.53
P00525,26.32974,91.589425,602.01
P00526,25.448004,92.784152,770.33
P00527,25.535697,93.870622,325.86
P00528,25.493993,93.680084,663.4
P00529,28.094976,95.556793,1575.57
P00530,24.107085,95.113832,398.57
P00531,26.568433,89.766601,972.06
P00532,24.937064,91.19297,459.36
P00533,28.576006,94.39901,867.93
P00534,26.99665,94.755855,1134.27
P00535,27.118658,92.890707,822.44
P00536,25.975043,97.5,542.3
P00537,23.924091,92.792776,1372.67
P00538,26.027778,94.24323,485.79
P00539,28.566004,92.881395,1300.37
P00540,24.444421,93.725158,765.07
P00541,29.5,92.359045,1272.8
P00542,28.28616,91.946583,1093.52
P00543,29.030297,91.242965,1253.51
P00544,25.817234,93.810503,464.64
P00545,26.003913,92.482872,1293.4
P00546,27.743806,94.119686,1369.63
P00547,28.256698,93.243404,1302.61
P00548,23.767132,92.760034,494.22
P00549,25.334158,93.644768,1251.42
P00550,24.815294,92.838664,739.55
P00551,26.173633,94.573547,719.87
P00552,25.693733,94.031533,679.56
P00553,24.501446,93.974269,448.2
P00554,29.5,91.860258,1253.44
P00555,26.180123,93.144273,585.18
P00556,23.036979,93.481389,575.71
P00557,28.087453,96.095973,1611.94
P00558,23.092427,94.227529,533.93
P00559,22.95132,94.047377,886.25
P00560,24.200014,91.137823,882.29
P00561,24.498169,94.305082,469.59
P00562,25.716939,90.408007,641.82
P00563,29.317135,95.035009,1577.58
P00564,25.255102,94.45965,823.39
P00565,26.689838,92.553153,904.09
P00566,23.345514,92.568491,482.8
P00567,25.879392,93.491517,854.2
P00568,27.628096,95.079461,1522.03
P00569,27.796799,96.439673,1557.37
P00570,27.190891,94.518516,1297.83
P00571,26.432462,93.965286,904.91
P00572,25.075185,95.531286,813.49
P00573,27.002012,94.182183,800.72
P00574,27.380911,92.856178,1530.91
P00575,26.60144,94.639353,1384.08
P00576,24.411627,93.258595,901.68
P00577,26.12492,90.731897,710.42
P00578,23.676409,93.742335,408.55
P00579,25.663709,94.495133,728.1
P00580,26.279161,92.487469,927.01
P00581,29.5,92.357429,746.11
P00582,28.644672,92.126806,1026.88
P00583,28.486918,95.226291,1338.64
P00584,22.0,92.836146,428.32
P00585,28.09695,91.772221,901.56
P00586,26.386998,91.440691,655.1
P00587,26.206724,91.146146,621.76
P00588,23.464618,93.859146,655.26
P00589,26.523842,95.976054,972.1
P00590,26.593582,92.240428,1052.32
P00591,23.387032,93.861896,549.36
P00592,25.370666,91.410721,1082.02
P00593,22.494774,94.485388,703.38
P00594,26.001377,94.576181,909.35
P00595,25.895436,95.606279,606.8
P00596,28.007026,92.112987,1096.81
P00597,25.266241,95.696341,674.47
P00598,28.186267,95.983119,1399.42
P00599,25.03378,92.807391,517.35
P00600,27.834051,92.924753,871.03
P00601,26.113305,93.388275,881.82
P00602,29.215393,94.433968,1073.23
P00603,25.244258,94.45498,700.34
P00604,26.623331,95.141197,1016.25
P00605,23.751114,94.304993,944.8
P00606,23.709689,94.496199,300.0
P00607,25.909823,90.633146,472.43
P00608,25.37978,93.365065,423.46
P00609,27.737002,92.275027,958.53
P00610,23.188213,93.234109,484.4
P00611,25.545153,92.44426,300.0
P00612,24.988481,91.675417,321.71
P00613,28.452443,92.165575,1360.3
P00614,27.990646,91.645414,1209.7
P00615,25.580077,92.913127,696.36
P00616,25.876158,93.705418,905.73
P00617,26.643824,96.145038,1247.32
P00618,27.51192,92.956194,1103.79
P00619,24.185485,93.898042,974.71
P00620,25.565906,91.383834,483.2
P00621,26.945635,93.537698,881.65
P00622,26.52189,95.690754,1077.85
P00623,24.578631,94.336588,763.56
P00624,27.918962,95.824031,1140.3
P00625,26.981897,92.24977,1437.89
P00626,24.483122,94.322132,1065.79
P00627,25.609412,94.427642,657.35
P00628,28.063344,92.514224,1165.97
P00629,23.220941,92.201487,583.42
P00630,25.115549,94.891747,509.11
P00631,24.309792,93.971559,840.34
P00632,27.955794,91.316411,1094.71
P00633,28.06123,92.606345,1253.12
P00634,24.272384,93.666861,912.53
P00635,28.39314,95.452578,1452.08
P00636,25.37431,93.708251,610.61
P00637,27.221686,95.894943,1482.37
P00638,22.687595,94.695413,558.25
P00639,25.582714,95.244381,548.81
P00640,22.498489,93.109603,422.05
P00641,23.563773,94.084691,364.11
P00642,24.358949,92.969654,1011.18
P00643,26.409231,91.385465,338.14
P00644,27.867324,95.907194,1671.23
P00645,23.086986,93.75604,352.79
P00646,22.678514,92.07489,903.22
P00647,26.185026,94.333155,816.41
P00648,23.533817,94.29189,681.45
P00649,28.735094,93.250462,1041.1
P00650,24.393511,94.371669,834.69
P00651,28.408493,96.407093,1490.12
P00652,27.836903,92.447821,1009.68
P00653,26.031892,94.808692,942.68
P00654,24.742334,94.080921,717.23
P00655,28.208451,90.942252,1529.57
P00656,25.127759,94.629399,876.78
P00657,26.643559,93.982302,597.16
P00658,27.478327,93.613323,872.0
P00659,27.77428,92.553303,906.24
P00660,25.173672,94.052424,603.16
P00661,25.98686,93.224204,586.13
P00662,27.326615,95.938361,790.73
P00663,23.545517,94.862629,1031.9
P00664,26.248889,93.252653,942.32
P00665,28.921809,91.87106,1404.48
P00666,23.598434,93.399536,397.86
P00667,25.993049,93.989976,954.05
P00668,25.541787,90.666753,604.07
P00669,28.788822,93.081086,1128.82
P00670,27.14441,90.583804,776.31
P00671,23.65243,92.47397,300.0
P00672,24.932728,91.135519,1179.06
P00673,26.431795,93.432585,492.2
P00674,29.5,93.048402,1007.22
P00675,22.472998,93.664413,300.0
P00676,29.068258,95.196068,1187.31
P00677,27.419888,92.056436,993.94
P00678,24.736743,93.383682,300.0
P00679,26.258245,92.201974,528.83
P00680,29.348204,95.687319,1583.52
P00681,26.078868,93.915926,1015.21
P00682,28.165737,95.30909,1127.79
P00683,28.390245,94.757228,1627.4
P00684,27.459018,96.224203,1796.65
P00685,24.100871,92.777329,512.66
P00686,26.474949,94.496866,1096.14
P00687,25.488542,93.243114,324.46
P00688,24.426519,94.318865,1150.61
P00689,25.138209,94.291861,912.13
P00690,25.781433,94.208373,328.04
P00691,25.108396,93.962914,723.48
P00692,24.757411,90.279464,736.76
P00693,24.843618,94.35139,300.0
P00694,28.123314,95.267275,1033.7
P00695,25.563263,96.843885,905.23
P00696,24.906044,93.458835,461.05
P00697,27.367985,94.563853,1263.99
P00698,26.941363,95.128313,825.95
P00699,23.010614,93.234232,564.36
P00700,24.133892,93.386506,867.71
P00701,25.519922,94.980897,908.06
P00702,26.123449,94.183178,515.37
P00703,26.047855,93.82827,742.85
P00704,24.561197,92.009013,436.53
P00705,26.481542,93.982191,1215.57
P00706,26.334554,94.391639,939.69
P00707,26.230552,90.460299,783.39
P00708,27.241809,93.252391,648.57
P00709,28.479028,90.956856,1367.05
P00710,24.803755,90.352551,572.03
P00711,28.547125,94.962409,1430.16
P00712,27.227351,91.245094,1519.85
P00713,27.551584,96.638943,1316.68
P00714,26.108233,94.013032,824.29
P00715,26.07009,94.353782,1140.1
P00716,27.713897,95.578343,1405.59
P00717,27.424634,96.410531,1210.62
P00718,23.870276,92.662518,339.31
P00719,24.068907,93.016627,1012.4
P00720,23.528622,94.862101,822.91
P00721,26.497686,94.871546,952.72
P00722,27.694655,93.57097,1364.08
P00723,24.240814,93.393318,557.67
P00724,24.452797,93.00653,902.06
P00725,28.933799,91.030124,917.76
P00726,27.927301,93.80213,1154.9
P00727,28.075269,91.854338,942.11
P00728,22.967477,93.739926,300.0
P00729,26.849728,93.152714,993.71
P00730,26.021992,94.348211,669.4
P00731,27.278473,91.403679,1086.66
P00732,27.415334,93.598719,1261.02
P00733,27.625376,92.870928,903.3
P00734,25.479635,91.358464,485.07
P00735,26.850646,93.799385,802.21
P00736,26.701202,89.542045,885.47
P00737,26.410234,96.269363,1134.28
P00738,26.742851,93.446396,967.65
P00739,25.336137,90.656953,397.73
P00740,25.826927,91.666259,616.36
P00741,27.751889,94.170844,1175.65
P00742,26.673239,93.49322,1193.06
P00743,24.282991,94.06074,507.76
P00744,22.924013,94.073042,473.28
P00745,23.75696,92.276097,300.0
P00746,26.596201,93.743985,1214.26
P00747,22.950063,93.072864,1208.19
P00748,26.988172,93.532196,562.35
P00749,28.006164,92.453075,966.83
P00750,25.977521,93.664145,465.5
P00751,28.772037,92.155055,1245.44
P00752,27.357025,92.243394,1088.96
P00753,26.654749,95.965075,559.49
P00754,28.067443,94.958182,603.42
P00755,22.809254,92.732918,734.12
P00756,24.176055,94.145833,401.96
P00757,24.710785,92.970167,300.0
P00758,28.273271,94.190536,1629.28
P00759,23.917544,94.069663,969.49
P00760,25.52917,93.654504,852.79
P00761,24.238682,90.505384,1558.13
P00762,25.767363,95.573183,951.88
P00763,27.263175,92.557341,1454.67
