rainfall_24h_mm,rainfall_7d_mm,slope_deg,landslide
13.26,163.42,8.84,0
18.93,71.05,11.53,0
57.28,174.23,21.2,1
75.07,226.56,37.95,1
73.96,319.59,16.44,1
5.45,235.15,15.16,0
18.2,132.41,20.46,0
15.61,146.23,28.19,0
57.25,199.06,18.6,1
18.47,149.4,40.64,0
31.15,147.98,41.59,1
61.02,349.35,21.2,1
36.14,116.22,55.0,1
44.89,252.14,23.89,1
30.24,216.12,40.82,1
69.71,183.86,27.75,1
74.65,151.45,27.45,1
51.31,177.18,7.44,1
74.86,249.02,10.88,1
171.45,184.68,19.19,1
60.27,116.98,41.41,1
33.92,54.37,27.97,0
45.67,193.3,19.29,1
80.2,223.91,32.38,1
25.03,86.22,40.57,1
23.34,96.3,23.02,0
45.1,184.11,26.09,1
33.43,74.21,24.2,0
15.46,195.71,22.17,1
40.0,146.38,13.91,0
91.74,212.57,13.22,1
50.06,177.15,32.27,1
12.64,65.45,41.0,0
56.01,183.51,19.27,1
28.19,196.25,19.0,1
135.28,213.01,6.0,1
52.84,124.99,5.16,0
21.31,357.1,46.81,1
59.08,126.4,14.5,1
42.21,135.9,55.0,1
85.8,345.53,16.16,1
23.24,61.97,7.62,0
52.75,165.04,24.31,1
7.71,173.72,35.4,1
38.69,155.28,33.23,0
12.3,46.72,37.37,0
41.16,97.81,12.14,1
48.23,78.64,46.2,1
51.28,159.01,47.69,1
23.21,174.98,48.83,1
39.59,116.92,26.61,0
78.6,176.59,18.37,1
110.7,208.36,17.38,1
40.63,276.6,7.59,1
80.09,217.9,16.38,1
16.75,143.95,3.39,0
26.37,241.12,6.84,0
44.06,90.0,26.45,1
33.6,170.33,19.67,0
30.89,116.64,25.8,0
74.4,328.73,33.9,1
14.33,230.08,28.55,1
15.73,101.43,27.19,0
10.43,112.14,21.77,0
45.06,109.69,14.17,0
28.16,224.64,9.87,1
69.44,241.86,16.65,1
42.22,147.42,21.99,0
22.75,127.25,23.63,0
19.85,110.07,37.41,1
32.01,277.47,20.84,0
12.48,123.46,31.19,0
75.62,168.07,8.38,1
27.05,212.53,26.67,1
8.63,27.68,25.6,0
86.16,186.78,46.21,1
32.39,232.61,19.68,0
55.76,332.86,19.18,1
23.03,102.54,34.03,1
88.2,249.21,10.4,1
17.56,96.74,26.27,0
28.15,380.13,10.04,1
5.88,137.78,55.0,1
86.74,258.43,17.66,1
20.62,43.33,9.59,0
45.86,135.44,16.58,1
50.74,236.76,26.36,1
77.24,122.9,30.65,1
43.33,175.03,44.89,1
33.94,318.16,15.35,1
71.83,263.79,34.9,1
50.13,214.5,6.84,1
29.94,122.91,11.58,1
89.4,143.97,8.55,1
52.99,169.04,13.65,1
11.45,187.23,34.02,0
100.49,165.12,15.58,1
22.53,213.49,17.47,0
76.98,213.02,26.77,1
8.8,81.13,29.93,0
71.52,109.12,17.8,1
12.17,57.22,11.53,0
42.47,155.83,52.41,1
51.93,279.01,17.87,1
30.46,103.48,18.98,0
37.14,281.38,20.46,1
14.83,49.08,31.71,0
66.4,191.6,8.06,1
44.18,161.89,55.0,1
17.46,169.97,18.66,0
45.44,180.16,32.32,0
46.49,138.7,9.67,1
38.52,131.18,25.23,1
2.36,205.91,55.0,1
27.02,156.25,53.76,0
65.69,87.38,31.84,1
54.04,152.11,13.06,1
52.88,156.43,43.59,1
43.93,147.12,6.8,0
71.07,257.9,12.75,1
22.41,106.16,21.85,0
18.5,159.96,7.27,0
117.65,404.66,16.56,1
20.43,248.44,35.29,1
11.04,90.02,14.56,0
30.02,161.49,36.22,1
39.6,52.74,55.0,1
71.39,241.49,28.6,1
27.07,78.9,35.87,0
26.88,147.57,44.41,1
36.85,147.84,17.53,0
23.38,244.74,35.4,1
8.92,151.03,17.26,0
11.94,122.42,27.46,0
84.88,261.73,38.4,1
61.08,302.89,13.46,1
35.89,52.91,3.68,0
53.91,135.88,12.64,0
62.37,354.1,41.55,1
21.38,393.07,11.61,1
14.69,86.69,40.28,0
79.01,280.55,12.68,1
3.31,75.18,20.06,0
54.53,113.48,22.75,0
42.03,155.19,11.58,1
73.67,288.84,20.2,1
55.97,160.49,7.61,1
53.67,267.21,18.5,1
16.12,241.12,21.66,0
64.05,154.18,3.84,1
49.8,138.25,12.57,1
18.11,124.38,26.98,0
42.32,165.74,10.7,0
13.12,127.63,29.55,0
32.09,162.52,31.2,0
149.93,244.28,26.91,1
15.31,70.51,35.16,1
8.82,339.01,7.25,1
12.09,94.0,39.35,1
31.72,68.42,11.7,0
58.91,243.79,24.3,1
37.7,100.17,55.0,1
10.2,184.54,18.26,0
58.37,137.93,23.09,1
5.06,371.11,11.75,0
11.41,274.91,55.0,0
22.56,131.8,12.59,0
77.11,241.67,32.73,1
38.87,184.49,44.37,1
40.05,117.73,34.49,1
10.38,191.46,27.87,0
24.52,154.31,24.08,1
69.49,210.37,9.6,1
47.49,220.01,55.0,1
59.9,176.33,26.57,1
35.71,107.01,23.1,0
70.02,234.6,11.08,1
10.31,200.61,23.76,1
31.12,221.99,22.25,1
52.8,246.01,55.0,1
7.12,159.75,23.09,0
1.5,39.79,23.54,0
117.72,493.12,11.17,1
39.28,228.78,14.24,1
6.33,104.1,30.58,0
38.52,244.26,6.25,1
11.58,69.29,39.24,0
16.11,191.09,39.82,1
78.91,183.1,13.29,1
23.04,82.99,27.92,0
22.88,82.15,45.16,0
11.2,170.59,21.19,0
27.38,197.98,18.88,1
41.25,109.47,20.3,0
23.02,128.12,26.53,0
138.49,288.76,15.43,1
14.14,103.08,17.91,0
14.06,354.27,26.84,1
26.47,187.03,17.01,0
127.66,244.26,10.52,1
60.61,284.16,5.83,1
22.37,190.8,23.35,0
22.38,173.45,43.62,1
13.63,175.94,28.73,0
25.83,218.07,10.8,0
30.43,114.14,14.17,0
58.63,89.93,18.79,1
50.04,284.23,55.0,1
25.12,155.2,55.0,1
97.13,191.08,55.0,1
19.79,90.89,24.75,0
8.63,73.67,55.0,1
42.74,181.19,14.63,0
74.91,197.66,18.37,1
34.61,259.82,37.57,1
10.75,183.72,26.92,0
40.14,230.47,27.8,1
44.06,262.7,12.04,1
47.59,190.39,22.15,1
40.76,324.05,14.76,1
81.88,162.79,9.13,1
13.31,229.4,15.89,1
0.62,31.59,26.92,1
5.07,37.3,34.21,0
10.59,67.23,5.67,0
66.02,182.97,22.77,1
27.38,55.74,21.56,0
102.4,217.0,26.13,1
12.36,109.74,10.94,0
101.0,457.95,11.08,1
16.28,63.0,44.27,0
30.39,165.24,13.4,0
6.39,177.09,17.83,0
91.97,124.97,18.96,1
33.81,306.42,14.94,1
142.64,330.5,30.05,1
77.34,313.11,28.63,1
29.78,175.96,20.99,0
18.78,94.32,15.5,0
68.11,111.31,20.01,0
36.67,234.36,23.89,1
17.88,112.29,14.18,0
38.78,63.73,31.31,0
4.09,104.47,39.08,0
48.27,170.5,48.41,1
55.28,310.91,46.8,1
11.93,117.78,18.89,1
83.41,206.24,24.59,1
71.48,195.51,20.76,1
45.04,258.25,20.71,1
15.18,92.1,19.93,0
57.7,215.26,23.01,1
26.15,115.16,42.62,1
41.55,293.83,27.39,1
61.73,347.1,10.61,1
8.79,144.03,38.17,1
6.06,157.1,25.92,1
24.02,131.43,30.24,1
126.72,158.85,27.08,1
146.61,271.3,27.79,1
47.46,165.21,28.52,1
72.89,171.71,6.61,1
34.95,141.07,30.03,0
38.8,197.6,14.58,0
30.36,181.61,16.98,0
79.17,187.07,22.91,1
103.19,368.42,52.55,1
38.1,66.36,11.86,0
38.67,118.11,22.45,0
31.65,229.16,19.64,1
104.97,141.26,37.87,1
66.58,94.4,19.31,1
14.84,93.63,26.09,0
124.14,242.87,11.88,1
2.21,93.32,41.39,1
97.93,236.24,8.6,1
74.77,104.58,29.8,1
38.19,111.76,26.18,0
37.46,217.32,28.39,1
32.96,190.99,8.69,0
15.53,98.63,19.07,0
117.57,250.14,36.86,1
36.59,153.8,55.0,1
15.27,134.58,21.48,0
112.79,257.77,34.97,1
51.48,346.58,24.75,1
53.79,352.57,22.14,1
130.22,167.12,17.76,1
59.3,163.48,22.97,1
21.48,76.13,33.26,1
59.24,211.54,34.78,1
16.9,124.73,9.94,0
25.18,243.23,16.8,0
46.31,168.74,11.49,1
72.12,343.89,23.65,1
22.59,328.12,18.67,1
32.19,298.29,27.85,1
31.91,54.0,28.94,0
81.03,225.03,4.26,1
37.43,135.72,22.87,1
123.03,230.97,43.07,1
25.17,222.72,16.8,0
23.46,126.08,16.5,0
96.72,223.84,39.05,1
55.8,187.25,35.67,1
94.26,122.52,12.28,1
11.5,104.58,33.76,0
36.74,263.59,14.08,1
46.27,70.97,16.39,0
43.86,213.03,12.27,0
32.61,101.1,9.89,0
43.19,140.06,24.45,0
44.95,233.56,8.88,1
22.9,80.65,25.02,0
78.76,181.04,24.57,1
113.7,150.69,20.91,1
62.9,218.78,17.29,0
50.28,124.33,15.27,0
34.92,79.57,11.26,0
45.98,168.48,48.6,1
49.51,85.2,20.37,1
15.59,110.69,19.97,0
76.08,145.7,12.66,1
26.63,165.58,45.84,1
100.24,241.03,15.87,1
42.12,120.09,26.4,0
77.0,345.02,29.31,1
62.23,282.62,24.46,1
11.66,74.57,8.73,0
94.21,493.64,32.97,1
19.63,203.12,15.77,0
25.15,173.27,35.47,1
27.06,181.06,22.04,0
7.67,59.33,30.31,1
43.61,284.6,44.2,1
80.37,108.81,32.3,1
98.58,252.06,30.72,1
32.6,254.68,33.79,1
37.18,103.68,13.77,0
65.32,256.39,36.3,1
33.33,163.0,19.45,0
85.4,283.49,19.83,1
35.76,252.05,24.02,1
17.31,299.21,18.38,1
44.46,291.69,11.98,1
9.38,41.13,22.98,0
44.02,108.0,19.89,0
50.42,213.51,19.47,1
19.72,237.69,21.63,0
48.97,106.98,4.64,0
30.2,211.51,19.55,0
19.0,276.36,47.2,1
8.05,221.24,45.19,1
10.52,190.19,23.44,1
107.2,224.49,22.98,1
29.21,142.97,3.68,0
49.52,412.39,16.33,1
32.39,37.5,33.61,0
109.0,196.83,18.11,1
19.08,83.07,39.91,0
39.67,84.1,38.6,0
25.01,198.31,16.14,0
76.42,235.89,24.46,1
49.14,173.11,49.23,1
38.56,197.97,8.59,1
12.01,209.98,18.36,1
142.15,249.16,7.98,1
33.14,199.26,13.14,1
16.33,117.28,55.0,1
8.09,177.52,18.35,1
10.16,268.47,5.58,0
38.28,247.86,11.9,0
77.25,387.6,7.37,1
46.76,134.87,25.01,1
8.61,83.99,29.07,0
38.22,195.57,36.57,1
93.66,183.6,32.62,1
28.39,202.18,8.89,0
46.86,185.74,28.25,1
29.42,94.12,21.08,0
54.67,216.23,39.47,1
18.82,86.63,34.67,0
0.38,269.29,55.0,1
12.72,121.17,12.53,0
25.52,100.36,11.38,0
35.3,176.74,16.96,0
26.38,177.21,21.57,0
25.94,112.16,14.96,0
77.71,161.28,12.96,1
14.81,50.18,27.2,0
38.42,241.59,16.93,1
9.22,273.84,14.56,1
62.93,284.33,8.87,1
45.86,119.17,3.96,0
140.32,299.39,45.97,1
14.26,157.06,45.23,1
112.55,155.51,35.25,1
16.18,101.95,30.79,1
28.21,180.66,15.98,1
10.91,35.65,31.49,0
139.11,196.65,10.84,1
51.15,240.62,24.13,1
51.55,123.17,13.79,0
17.59,60.98,31.56,0
2.6,217.4,51.03,1
27.27,98.91,11.87,0
23.14,213.44,16.47,0
5.45,311.67,23.87,0
28.79,85.07,6.13,0
38.47,149.39,7.63,1
53.72,197.38,50.22,1
3.19,215.75,27.27,0
11.61,97.15,15.43,0
18.17,32.27,22.42,0
80.1,136.35,17.0,1
79.04,176.01,24.28,1
49.11,239.21,17.39,1
28.37,140.0,21.4,0
83.56,266.38,33.12,1
44.72,139.45,31.95,0
80.35,215.89,48.7,1
50.8,249.28,28.37,1
6.43,235.86,23.25,0
2.54,347.86,52.62,1
26.03,172.84,20.11,0
68.49,98.0,4.31,1
22.88,185.21,35.49,1
94.85,122.71,26.5,1
64.15,238.09,22.62,1
89.17,221.77,36.01,1
26.65,248.97,17.49,0
15.3,109.62,4.49,0
13.21,149.71,36.4,1
54.38,218.36,15.09,1
7.13,24.41,12.19,0
7.68,167.18,4.7,0
21.71,40.38,34.73,0
43.45,118.45,3.07,0
18.45,168.19,44.01,1
79.16,102.7,18.54,1
90.05,268.82,35.65,1
1.18,171.23,28.85,0
51.52,268.27,55.0,1
22.97,58.34,28.41,0
70.7,410.42,43.13,1
52.82,101.91,16.15,0
41.9,177.83,7.61,0
33.1,131.3,38.69,1
7.73,121.2,7.44,0
153.95,465.57,34.52,1
11.47,66.09,11.24,0
113.38,397.62,26.79,1
60.44,254.41,55.0,1
23.99,145.56,33.05,1
20.97,141.77,20.16,0
7.35,177.82,29.23,0
37.79,131.43,16.51,0
7.0,112.75,55.0,1
82.33,217.79,14.38,1
45.16,311.04,21.49,1
35.85,148.31,31.42,0
39.58,71.55,28.05,0
46.55,185.5,29.84,1
27.78,144.55,16.73,0
30.98,110.69,19.66,0
121.65,273.95,37.72,1
76.71,158.31,36.7,1
58.58,169.28,28.43,1
24.0,159.83,46.05,1
4.35,148.47,38.54,0
53.73,213.5,36.1,1
39.49,212.79,7.34,1
30.42,164.46,28.23,0
34.5,72.81,25.42,1
12.18,159.51,49.24,1
16.02,229.36,1.89,0
76.82,108.04,20.77,0
2.94,41.59,24.23,0
69.27,142.05,11.14,1
97.78,303.45,12.63,1
52.9,122.78,49.33,1
51.0,258.36,29.78,1
15.88,157.8,55.0,1
18.23,102.27,20.55,1
25.75,530.63,8.65,1
9.71,59.41,18.82,1
17.0,141.92,16.9,0
39.38,103.44,33.69,1
24.42,175.9,32.94,1
42.11,108.28,30.61,1
76.62,168.7,55.0,1
41.85,117.03,44.6,1
51.42,155.28,13.22,1
6.86,219.03,39.23,0
75.66,120.01,23.31,1
6.64,77.34,20.21,0
22.97,117.67,47.63,1
12.82,119.44,12.67,1
4.38,260.12,37.81,0
40.19,113.22,34.59,0
54.75,261.51,12.51,0
99.51,374.11,7.15,1
44.73,155.7,21.82,1
16.9,77.89,1.68,0
23.92,260.99,41.71,1
5.31,201.81,28.17,0
26.16,82.97,48.46,1
35.43,334.72,27.09,1
53.06,130.78,50.22,1
63.9,173.8,15.8,0
51.77,229.51,30.56,1
15.24,293.92,17.99,0
11.31,157.58,21.42,0
60.61,163.33,24.18,1
4.18,97.55,28.12,0
133.02,235.67,14.45,1
18.42,413.68,29.74,1
83.12,241.68,23.48,1
21.61,155.98,9.0,0
55.71,253.4,6.36,1
11.74,119.02,41.8,0
37.15,307.45,20.8,1
5.76,172.3,8.32,0
46.57,147.65,54.67,1
11.53,99.7,31.44,0
13.47,48.13,27.7,0
25.03,236.9,13.62,1
29.6,73.57,8.91,0
53.12,314.56,25.44,1
49.25,118.7,22.63,0
40.26,115.72,11.26,0
69.11,408.99,10.99,1
48.22,250.8,10.62,1
50.86,183.14,10.36,0
13.34,334.87,15.47,0
72.93,190.35,27.7,1
66.67,157.81,30.37,0
41.79,181.67,22.35,1
64.94,285.31,24.77,1
34.9,86.59,31.19,1
102.98,177.27,5.12,1
38.86,100.89,25.9,1
33.96,88.98,45.69,1
48.48,158.33,20.48,0
117.82,172.01,40.87,1
22.22,53.38,20.7,0
46.12,120.0,32.35,1
23.7,94.34,27.38,0
33.92,194.83,10.5,0
16.83,226.09,12.24,1
49.86,131.5,50.21,1
36.38,111.24,36.3,1
63.96,393.03,21.54,1
76.92,281.76,19.87,1
85.22,235.62,13.68,1
24.51,123.61,28.72,0
48.56,250.74,14.45,1
89.06,147.44,18.33,1
16.72,224.26,15.43,0
39.5,205.08,35.05,1
17.78,202.13,21.01,0
116.76,249.97,24.88,1
88.35,135.1,10.64,1
54.87,114.43,15.36,1
54.24,225.14,25.2,1
19.38,179.97,7.45,0
95.65,183.07,20.08,1
28.47,114.72,22.76,0
21.14,261.4,9.73,1
79.88,202.72,39.88,1
26.26,97.52,27.94,0
21.92,284.47,20.92,0
66.63,315.33,14.67,1
12.33,135.03,7.24,1
55.36,193.83,38.22,1
39.85,245.11,17.3,1
62.72,240.8,8.65,1
50.99,96.53,14.4,1
167.54,435.03,29.63,1
42.76,81.88,26.32,0
26.19,185.87,11.3,1
36.54,89.55,41.95,1
50.59,228.47,8.56,1
112.37,189.02,46.69,1
57.98,138.17,25.68,1
18.45,216.95,18.12,0
220.0,272.99,19.68,1
74.71,162.01,24.01,0
17.48,71.9,30.92,0
13.44,145.8,6.3,0
11.09,64.79,14.1,0
35.06,186.76,23.57,1
36.23,283.08,42.82,1
20.73,46.04,41.94,0
9.48,86.39,51.93,0
13.73,71.8,40.85,0
58.83,104.98,13.42,1
28.87,178.17,22.7,0
15.27,154.24,40.98,1
39.75,306.29,38.81,1
45.71,232.01,20.28,1
49.51,176.31,30.44,1
38.6,183.87,17.24,1
34.12,121.31,8.08,0
84.52,232.69,21.36,1
14.29,53.73,20.6,0
30.64,142.9,16.73,0
5.1,167.6,30.99,0
27.45,136.0,19.88,0
41.93,120.85,28.61,0
66.16,196.47,34.7,1
5.3,76.4,55.0,1
40.98,145.42,21.57,1
123.73,320.64,43.15,1
52.28,256.46,26.1,1
11.84,152.61,26.97,0
27.49,89.35,21.74,0
53.53,151.6,24.81,1
21.58,153.36,19.99,0
44.66,121.04,39.1,0
42.71,350.81,14.44,1
34.65,112.19,8.02,0
10.6,136.99,16.39,1
19.59,52.06,15.32,0
132.16,343.82,16.39,1
26.01,306.15,21.07,1
28.71,89.63,16.43,0
28.58,68.97,20.89,0
65.01,204.76,16.46,1
29.89,358.99,28.95,1
35.28,80.6,55.0,0
41.0,141.42,25.8,1
70.22,217.29,16.88,1
35.41,165.27,3.66,0
38.46,199.4,55.0,1
22.5,279.99,26.64,1
45.44,259.57,20.78,1
55.43,154.43,3.86,1
58.21,103.01,21.43,1
118.75,342.24,24.69,1
18.37,118.58,16.49,0
36.56,165.38,9.16,1
30.05,231.58,8.73,0
104.65,324.15,55.0,1
59.82,254.67,24.28,1
7.62,306.08,16.49,0
20.88,141.25,23.45,1
27.2,107.97,22.52,0
8.89,74.73,8.42,0
38.73,122.51,37.69,1
23.36,109.34,20.46,0
122.23,263.28,24.47,1
45.16,215.86,49.33,1
26.32,85.88,9.36,0
15.19,217.07,13.96,0
34.16,247.37,27.45,1
98.62,115.57,37.28,1
30.33,203.44,15.53,1
34.4,126.11,16.09,0
77.06,329.22,32.55,1
44.2,163.24,55.0,1
64.09,138.34,23.9,1
47.54,106.69,13.93,0
45.6,179.77,11.39,0
7.17,99.94,21.03,0
13.25,61.68,36.34,0
40.74,79.45,55.0,1
16.52,162.99,18.97,0
34.19,77.53,23.92,0
12.1,31.41,54.67,0
77.5,292.47,27.19,1
18.36,82.75,25.91,0
15.14,175.49,48.99,1
9.56,142.07,24.25,1
57.75,137.29,12.03,0
34.15,302.52,43.6,1
75.54,250.95,7.42,1
22.64,137.19,39.62,1
12.92,81.4,22.83,0
32.96,200.35,19.1,0
86.09,268.76,18.8,1
6.97,132.36,20.99,1
43.46,159.82,17.44,1
46.78,221.91,29.46,1
95.87,208.78,17.82,1
17.17,90.54,5.51,0
6.45,52.16,22.93,0
24.59,138.04,5.24,0
63.45,108.13,22.84,1
35.9,219.88,17.23,1
50.46,163.91,38.03,1
13.72,214.07,19.58,1
28.88,167.44,35.01,1
36.93,197.69,32.82,1
8.17,85.99,33.32,0
36.76,145.62,20.0,1
26.72,164.16,23.72,1
190.01,318.22,29.02,1
34.78,159.7,24.15,0
99.45,158.1,19.6,1
50.18,81.9,12.77,0
31.55,87.38,23.08,1
89.57,104.65,8.04,1
11.85,47.2,4.92,0
24.13,167.48,10.88,0
66.13,166.49,33.11,1
2.97,73.44,26.21,0
33.88,133.03,33.29,1
33.66,60.25,14.78,0
42.4,154.15,40.17,1
29.13,77.27,8.74,0
64.25,296.19,11.16,1
17.97,183.03,39.79,0
70.67,227.56,25.13,1
13.33,140.18,33.41,1
44.94,218.27,26.27,1
82.37,194.47,16.13,1
16.57,85.77,10.26,0
20.43,178.9,6.01,0
72.4,279.09,55.0,1
40.21,101.19,7.21,0
6.54,45.56,48.09,1
41.4,355.35,24.34,1
56.7,305.37,26.74,1
74.5,193.97,25.75,0
44.14,66.06,31.1,1
51.41,189.29,13.88,1
106.19,513.9,4.37,1
67.51,240.03,15.92,1
28.27,192.53,29.63,1
31.32,145.45,11.23,1
80.06,235.76,40.72,1
43.47,215.5,21.22,1
38.77,169.88,10.53,1
27.55,131.79,24.99,0
77.96,210.4,29.35,1
17.47,146.25,30.56,0
24.18,49.55,1.77,0
77.79,441.81,1.47,1
77.14,241.48,39.81,1
150.36,377.13,8.25,1
33.98,174.71,39.84,1
27.9,113.05,41.88,1
30.25,230.02,10.28,0
7.49,44.83,11.73,0
3.72,171.96,34.35,0
44.03,242.5,17.89,1
26.19,139.1,45.29,1
18.6,177.48,52.25,1
38.34,64.07,10.52,0
44.81,207.8,13.7,1
32.15,127.68,24.24,0
32.81,192.17,4.26,0
25.93,141.91,6.16,0
59.8,174.9,12.69,1
22.79,185.03,55.0,1
15.2,113.7,26.42,1
25.03,137.54,15.17,0
42.55,364.22,11.67,1
62.4,297.74,10.2,1
120.34,224.54,15.88,1
38.49,155.83,15.31,0
100.31,181.71,19.88,1
21.16,116.91,30.15,1
18.03,116.61,21.75,0
49.72,177.04,35.5,1
55.2,83.65,19.02,1
41.49,135.62,54.44,1
192.84,277.42,35.02,1
22.2,275.2,26.0,1
87.64,204.19,30.21,1
18.47,156.1,16.15,1
58.39,150.88,19.69,1
37.23,154.34,19.23,0
43.66,139.4,14.03,1
50.11,178.54,9.0,0
38.29,196.97,31.14,1
32.72,82.39,38.65,1
5.73,177.35,28.66,0
